,,,,Oxygen,,,,,,,,,,,,,,,,Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,,,
Log Date Time,MS,Tick,Day,Crew O2 Consumed,Crew Env O2,VPGC Env O2,O2 Store,Total Sim O2,O2 Created by OGS,VPGC Plant O2 Produced,Crew GARDEN O2 Produced,Total O2 Produced,B(X) - Change in Creation of O2/Change in Total O2,B(X) Daily Aerage,"M(X,?) - O2 Consumed or Removed/Total O2","M(X,?)Daily Average","Eigenvalue, ?","Eigenvalue, ? of Daily Average",Filter for Daily value,CO2 Store,Crew CO2 Injected,VPGC CO2 Injected,VPGC CO2 Injected (kg/Day),Total CO2 Injected,Crew CO2 Produced ,Crew CO2 Produced (kg/Day),VCCR CO2 Removed,VPGC CO2 Consumed,GARDEN CO2 Consumed,Plant CO2 Consumed,Plant CO2 Consumed (kg/Day),PhisoChem Removal (kg/Day),Air Revitalization (kg CO2 per Day),Crew Env CO2,VPGC Env CO2,Total Sim CO2,CO2 Concentration (%) ,B(X) - Change in Creation of CO2/Change in Total CO2,B(X) Daily Aerage,"M(X,?) - CO2 Consumed or Removed/Total CO2","CO2 M(X,?)Daily Average","CO2 Eigenvalue, ?","CO2 Eigenvalue, ? of Daily Average",CRS And waste?
10/14/2020 11:31,243,0,0,0,2362.2156,410.5528,1005.4203,3778.1887,15.420277,0.016791288,3.80E-09,15.43706829,0,,0,,0,0,TRUE,8028.108,1.2,0,,1.2,0,,32.085968,0.015692791,3.51E-09,0.015692795,,,,6.31314,0.55714816,8034.978288,,0,,0,,0,,
10/14/2020 11:31,258,1,,0,2337.2156,400.58865,1040.8406,3778.64485,15.420277,0.035845485,1.08E-08,15.4561225,0.041771794,,0,,-0.041771794,,FALSE,8011.288,0,20,,20,0,,5.957782,0.03350045,1.00E-08,0.03350046,,,,0.35535812,20.523647,8032.167005,,0,,0.000745911,,0.000745911,,
10/14/2020 11:31,274,2,,0,2302.2156,380.6005,1096.2609,3779.077,15.420277,0.01183955,2.14E-08,15.43211657,-0.055549981,,0,,0.055549981,,FALSE,8008.8467,0,0,,0,0,,0.336394,0.011064999,1.98E-08,0.011065019,,,,0.018964091,20.512585,8029.378249,,0,,4.32735E-05,,4.32735E-05,,
10/14/2020 11:31,289,3,,0,2257.2156,350.61636,1171.6812,3779.51316,15.420277,0.015860526,3.63E-08,15.43613756,0.009219073,,0,,-0.009219073,,FALSE,8006.087,0,0,,0,0,,0.01801573,0.014822922,3.36E-08,0.014822956,,,,9.48E-04,20.49776,8026.585708,,0,,4.09124E-06,,4.09124E-06,,
10/14/2020 11:31,289,4,,0,2202.2156,370.63626,1207.1014,3779.95326,15.420277,0.019881507,5.43E-08,15.44015856,0.009136558,,0,,-0.009136558,,FALSE,8003.31,0,0,,0,0,,9.05E-04,0.018580848,5.03E-08,0.018580898,,,,4.33E-05,20.479183,8023.789226,,0,,2.42851E-06,,2.42851E-06,,
10/14/2020 11:31,305,5,,0,2137.2156,360.6602,1282.5217,3780.3975,15.420277,0.023902483,7.64E-08,15.44417956,0.009051409,,0,,-0.009051409,,FALSE,8000.532,0,0,,0,0,,0,0.02233877,7.07E-08,0.022338841,,,,4.32E-05,20.456844,8020.988887,,0,,2.78505E-06,,2.78505E-06,,
10/14/2020 11:31,305,6,,0,2062.2156,360.68814,1357.942,3780.84574,15.420277,0.027923463,1.02E-07,15.44820057,0.008970654,,0,,-0.008970654,,FALSE,7997.7544,0,0,,0,0,,4.17E-05,0.026096692,9.48E-08,0.026096787,,,,1.37E-06,20.430744,8018.185145,,0,,3.25991E-06,,3.25991E-06,,
10/14/2020 11:31,321,7,,0,2062.2156,360.72012,1373.3623,3796.29802,15.420277,0.031944443,1.31E-07,15.45222157,0.000260221,,0,,-0.000260221,,FALSE,7974.9766,20,0,,20,0,,0,0.029854616,1.21E-07,0.029854737,,,,20.000002,20.40089,8015.377492,,0,,3.72468E-06,,3.72468E-06,,
10/14/2020 11:31,321,8,,0,2062.2156,360.75613,1388.7826,3811.75433,15.420277,0.03596542,1.65E-07,15.45624259,0.000260153,,0,,-0.000260153,,FALSE,7991.628,0,0,,0,0,,19.42896,0.03361254,1.53E-07,0.033612693,,,,0.5710409,20.367275,8012.566316,,0,,0.002429006,,0.002429006,,
